product,﻿Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
out-of-stock items that gets re-stocked,,,,,,,,
成功补货的产品,,,,,,,,
,Specialty Noodles,Baijia,Baijia · Crayfish Flavored Kejia Rice Noodles (255g),,白家 · 小龙虾味客家勾魂米线 (255g),3.0 CAD,2023-12-09T09:06:27Z,0
,AVADA - Best Sellers,Master Kong,Master Kong · Sauerkraut Beef Big Instant Noodle (5*162g),,康师傅 · 大食袋老坛酸菜牛肉面 (5*162g),5.0 CAD,2023-12-27T19:55:23Z,3
,Cakes & Pastries,Xuan Ma,Xuan Ma · Egg Yolk Pastry (360g),,"<p>生产日期：2024-01-04</p>
<p>保质期至：2024-04-03</p>, 轩妈 · 9枚蛋黄酥 (360g)",5.0 CAD,2024-03-23T10:45:51Z,0
,Weekly Special Fruit,Unknown,Babagan Mandarin 4KG/Box,,,N/A,2024-04-19T02:07:14Z,0
,hotpot collection,Shoo Loong Kan,Shoo Loong Kan · Red Oil Spicy Hotpot Soup Base (150g),,小龙坎 · 红汤火锅底料（150g）,N/A,2023-11-04T01:44:26Z,0
,Cakes & Pastries,Le Man Fen,Le Man Fen · Cheese Custard Biscuit (220g),,乐满芬 · 芝士流心酥 (220g),2.3 CAD,2024-03-23T11:02:34Z,0
,AVADA - Best Sellers,Jalpullineunjib,Jalpullineunjib · 3 Layers Premium Toilet Paper (30m*30 Rolls),,Jalpullineunjib · 高级三层超厚卫生纸 (30m*30卷),28.0 CAD,2024-01-28T05:01:21Z,1
,Weekly Special,Eastern Leaves,Eastern Leaves · Green Citrus Pu'er Tea (500ml),,东方树叶 · 青柑普洱茶（500ml）,1.3 CAD,2023-12-27T21:04:12Z,0
,hot sauce & chili oil,Cui Hong,Cui Hong · Spicy Red Chili Oil (200g),,翠宏 · 香辣红油（200g）,2.5 CAD,2023-12-27T20:47:56Z,1
,AVADA - Best Sellers,LiuQuan,LiuQuan · Premium Package River Snails Rice Noodle (370g),,,2.5 CAD,2024-03-07T19:10:17Z,0
,Juice & Coconut Drink,XYZ,XYZ · Plum Beverage (300ml),,信远斋 · 桂花酸梅汤 (300ml),N/A,2024-03-08T10:33:09Z,0
,meal sauce kits,SXX,SXX · Matsutake Seasoning (90g),,松鲜鲜 · 松茸调味料 (90g),2.5 CAD,2024-01-27T02:43:34Z,0
,Ice Cream & Dessert,Guang Ming,Guang Ming · Aduzki Bean Flavor Ice Bar Family Package (12*92g),,"冰淇淋&甜品, 光明 · 红豆棒冰家庭装 (12*92g)",6.5 CAD,2024-01-13T11:09:27Z,0
,Cakes & Pastries,Le Man Fen,Le Man Fen · Original Flavour Layered Cake (125g),,乐满芬 · 虎皮千层蛋糕原味 (125g),2.2 CAD,2024-03-23T11:16:30Z,0
,Specialty Noodles,BaMan,BaMan · Pork Bone Soup Flavor Hong Kong Style Vermicelli (289g),,霸蛮 · 港式肥肠米线猪骨浓汤味 (289g),N/A,2024-01-08T00:21:17Z,0
,Weekly Special,Master Kong,Master Kong · Big Eat Bag Sichuan Peppercorn Beef Instant Noodles (5*145g),,康师傅 · 大食袋藤椒牛肉面 (5*145g),5.5 CAD,2024-01-31T09:11:26Z,0
,AVADA - Best Sellers,Haidilao,Haidilao · Sichuan Noodle (200g),,海底捞 · 火锅宽粉 (200g),1.5 CAD,2024-02-03T22:48:49Z,0
,hotpot collection,Shoo Loong Kan,Shoo Loong Kan ·  Spicy Sesame Flavored Hot Pot Dipping Sauce (55g),,小龙坎 ·  麻酱蘸料香辣味 (55g),N/A,2024-01-23T18:14:26Z,2
,Ice Cream & Dessert,I Love Yum,I Love Yum · Matcha Red Bean Frozen Cake (300g),,至味 · 抹茶红豆盒子蛋糕 (300g),7.8 CAD,2024-04-02T18:18:13Z,3
,AVADA - Best Sellers,LiuQuan,LiuQuan · River Snails Rice Noodle (2*268g),,柳全 · 螺蛳粉 (2*268g),N/A,2024-03-09T00:38:43Z,0
,Specialty Noodles,Guang You,Guang You · Majiang Flavor Wide Noodle (4*110g),,光友 · 红油面皮麻酱味 (4*110g),3.5 CAD,2024-03-02T20:59:41Z,0
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · Duck Clavicle Flavour (200g),,良品铺子 · 鸭锁骨甜辣味 (200g),7.0 CAD,2024-03-23T11:35:54Z,5
,Self-Heating Meals,Mo Xiao Xian,Mo Xiao Xian · Beef With Bamboo Shoots Flavor Self-Heating Pot (275g),,莫小仙 · 笋尖牛肉味自热饭 (275g),6.0 CAD,2023-12-08T19:54:23Z,0
,hot sauce & chili oil,ML,ML · Fermented Soya Beans (200g),,美乐 · 风味豆豉 (200g),1.8 CAD,2024-01-31T17:08:51Z,5
,Milk Flavoured Drinks,Chi Forest,Chi Forest · Jasmine Milk Tea (450ml),,元气森林 · 茉香奶绿乳茶 (450ml),N/A,2024-01-30T06:56:33Z,0
,Bean Curds & Konjac Snacks,Wei Long,Wei Long · Big Gluten Stick(400g),,卫龙 · 大面筋大包装(400g),N/A,2023-12-27T19:57:18Z,0
,Biscuits & Cookies,Master Kong,Master Kong · Strawberry Flavor Biscuit (40g),,康师傅 · 彩笛卷草莓味 (40g),1.5 CAD,2024-02-04T08:08:20Z,0
,Seafood Snacks,JinZai,JinZai · Fried Fish With Sauce (12g*20),,劲仔 · 酱汁味小鱼 (12g*20),4.8 CAD,2023-12-09T05:51:35Z,0
,Buns & Dim Sum,YangZhou,YangZhou · Frozen Mushroom & Bamboo Shoots Steamed Bun (80g*6),,扬州五亭 · 三丁包 (80g*6),3.5 CAD,2024-03-12T09:35:52Z,0
,Buns & Dim Sum,San Quan,San Quan · Frozen Steamed With Milk & Egg Flavored Flour Buns (960g),,三全 · 蛋奶馒头 (960g),5.0 CAD,2024-01-06T02:07:12Z,1
,sesame oil & sauce,Wang Zhi He,Wang Zhi He · Sesame Paste(225g),,王致和 · 纯芝麻酱（225g）,2.5 CAD,2023-11-08T23:01:02Z,0
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · Duck Wing Flavour (175g),,良品铺子 · 鸭翅甜辣味 (175g),7.0 CAD,2024-03-23T11:47:08Z,0
,Rice Crackers,Want Want,Want Want · Chicken Flavor Golden Rice Crackers (60g),,旺旺 · 小小酥葱香鸡肉味 (60g),1.3 CAD,2024-02-04T23:54:13Z,0
,Buns & Dim Sum,YangZhou,YangZhou · Frozen Mushroom & Green Vegetables Steamed Bun (80g*6),,扬州五亭 · 香菇素菜包 (80g*6),3.5 CAD,2024-03-12T09:39:56Z,0
,Bean Curds & Konjac Snacks,HaoWeiWu,HaoWeiWu · BBQ Shredded Vegetarian Steak (24*20g),,好味屋 · 烧烤味手撕素牛排 (24*20g),N/A,2024-01-02T01:53:56Z,0
,Weekly Special Fruit,Unknown,Rose Apple By Air (1LB),,越南空运黑金刚莲雾  (1磅),7.0 CAD,2023-12-14T03:19:46Z,0
